Character;Value;Strength;Energy;Jokenpo
SABURO;7698;44.89;93.43;Rock
SACHIKO;2241;46.25;40.71;Paper
SADAO;4883;62.31;11.14;Rock
SAKI;5706;31.52;21.27;Paper
SAKURA;9491;75.8;18.64;Paper
SAKURAKO;2539;51.26;11.36;Paper
SATOKO;5371;31.54;36.88;Paper
SATOMI;9424;12.69;7.00;Scissors
SATORU;7019;75.72;27.93;Scissors
SATOSHI;1653;37.13;72.93;Scissors
SAYURI;7524;20.28;64.86;Scissors
SEIICHI;6344;58.11;69.1;Rock
SEIJI;2637;66.74;43.91;Paper
SETSUKO;8433;76.56;66.33;Paper
SHICHIRO;4938;62.49;22.77;Rock
SHIGEKO;6616;14.48;98.28;Scissors
SHIGEO;3666;41.4;56.1;Scissors
SHINICHI;4733;79.23;86.21;Paper
SHIORI;9132;99.22;73.38;Scissors
SHIRO;5787;64.59;44.46;Scissors
SHIZUKA;9241;92.92;99.4;Rock
SHIZUKO;8490;52.49;44.26;Rock
SHO;2077;3.54;56.73;Rock
SHOICHI;9476;78.56;87.67;Rock
SHOJI;6696;16.36;58.53;Paper
SHOUTA;5890;68.39;23.81;Rock
SHUICHI;8394;32.45;52.14;Scissors
SHUJI;2845;38.65;34.03;Scissors
SHUN;6929;61.99;42.15;Paper
SOUTA;6636;22.39;60.56;Rock
SUMIKO;5785;74.25;14.69;Rock
SUZUME;4626;92.27;90.41;Paper
TADASHI;7877;47.63;29.08;Paper
TAICHI;9669;83.58;26.68;Paper
TAIKI;9333;80.55;30.25;Paper
TAKAHIRO;7367;73.95;22.76;Scissors
TAKAKO;2208;49.38;73.79;Scissors
TAKAO;4703;0.47;26.48;Scissors
TAKARA;6790;31.64;85.73;Rock
TAKASHI;8227;12.28;33.04;Scissors
TAKAYUKI;5357;99.56;1.44;Paper
TAKEHIKO;4314;47.28;32.88;Scissors
TAKEO;4570;48.31;8.71;Paper
TAKESHI;6994;49.17;76.13;Scissors
TAKUMA;2746;29.95;77.79;Paper
TAKUMI;8509;72.51;52.82;Paper
TAMIKO;3610;54.38;86.01;Scissors
TAMOTSU;5413;65.16;20.86;Rock
TARO;3242;88.35;54.35;Scissors
TATSUO;2741;47.26;83.05;Scissors
TATSUYA;1199;85.24;84.8;Paper
TETSUYA;2483;4.91;16.29;Scissors
TOMIKO;1231;23.05;56.05;Paper
TOMIO;2277;4.49;70.24;Paper
TOMOHIRO;1959;17.96;99.15;Scissors
TOMOKO;6928;13.05;56.1;Rock
TOMOMI;7167;61.07;73.68;Scissors
TORU;9353;6.16;5.91;Scissors
TOSHI;8774;2.03;37.13;Rock
TOSHIAKI;4095;86.03;38.71;Scissors
TOSHIKO;5988;9.91;55.54;Rock
TOSHIO;4558;47.97;21.65;Scissors
TOSHIYUKI;7722;74.41;63.06;Rock
TSUBAKI;3865;14.66;2.98;Scissors
TSUBAME;4227;87.58;80.25;Paper
TSUKIKO;7054;55.72;42.1;Scissors
TSUNEO;1231;36.72;29.92;Paper
TSUTOMU;5435;16.13;51.41;Paper
TSUYOSHI;1757;43.61;81.64;Paper
UME;7022;2.36;9.72;Paper
UMEKO;3662;32.05;10.94;Rock
USAGI;6114;4.3;76.26;Rock
WAKANA;1335;58.88;33.09;Scissors
YAMATO;7233;3.65;34.24;Scissors
YASUKO;3108;91.58;88.29;Paper
YOKO;3082;82.99;9.39;Scissors
YORI;5741;0.7;25.12;Scissors
YOSHIKAZU;5718;3.16;86.59;Rock
YOSHIKO;7495;5.95;33.86;Scissors
YOSHINORI;7984;93.66;10.13;Paper
YOSHIO;7460;33.05;15.69;Rock
YOSHIYUKI;7695;39.68;86.76;Scissors
YUKIO;9467;46.16;26.2;Rock
YUTAKA;7691;78.62;66.27;Scissors
